Time,Heat Detector,Smoke Detector,Primary Power Supply,Secondary Power Supply,Manual Fire Alarm Activation,Current Temperature ( F )
13:35:00,0,0,30,100,0,100
13:40:00,0,1,100,100,0,150
13:45:00,0,0,49,100,0,200
13:50:00,0,0,99,100,1,300
13:55:00,0,0,99,100,0,150
14:00:00,0,0,96,100,0,81
14:05:00,0,0,96,100,0,81
14:10:00,1,1,96,100,0,81
14:15:00,0,0,96,100,0,82
14:20:00,0,0,96,100,0,82
14:25:00,0,0,96,100,0,83
14:30:00,0,0,99,100,0,83
14:35:00,0,0,99,100,0,83
14:40:00,0,0,0,100,0,83
14:45:00,0,0,0,50,0,82
14:50:00,0,0,0,45,1,82
14:55:00,0,0,100,100,0,82
15:00:00,0,0,100,100,0,82
